"Plate Number/Position Number",Prestw number,Chemical name,Structure,Broad Therapeutic class,Reported therapeutic effect,Inhibition Index
17B09,Prestw-2107,Cyclacillin,,Infectiology,Antibacterial,0.619347812
15C08,Prestw-1483,Fludarabine,,Oncology,Antineoplastic,0.61885068
13H04,Prestw-1033,Nomegestrol acetate,,Endocrinology,Contraceptive,0.618621288
05D11,Prestw-360,Droperidol,,Central Nervous System,Antipsychotic,0.614427477
14F07,Prestw-1096,Estriol,,Endocrinology,Menopausal symptoms,0.612566845
16C05,Prestw-1733,Nitazoxanide,,Infectiology,Antiprotozoal,0.612169437
14E08,Prestw-1804,Nelarabine,,Oncology,Antineoplastic,0.610741287
12C06,Prestw-905,Urapidil hydrochloride,,Cardiovascular,Antihypertensive 'Vasodilator,0.606961585
17B08,Prestw-2104,Loracarbef,,Infectiology,Antibacterial,0.606534692
09G09,Prestw-708,Benzethonium chloride,,Infectiology,Antibacterial 'Antiseptic 'Antineoplastic,0.604236164
04D07,Prestw-276,Bumetanide,,Metabolism,Diuretic,0.60070035
13B04,Prestw-973,Pirlindole mesylate,,Central Nervous System,Antidepressant,0.599476955
06C08,Prestw-1393,Dibenzepine hydrochloride,,Central Nervous System,Antidepressant,0.59897558
17F09,Prestw-1900,Climbazole,,Dermatology,Antifungal,0.598180537
14G10,Prestw-1109,Rifabutin,,Infectiology,Antibacterial,0.596911304
01G11,Prestw-70,Tolnaftate,,Infectiology,Antifungal 'Antifungal,0.594267391
17E07,Prestw-1879,Broxyquinoline,,Metabolism,Antidiarrheal 'Antiprotozoal,0.59018515
13D11,Prestw-1000,Lymecycline,,Metabolism,Antibacterial,0.589817371
19G09,Prestw-1975,Sobuzoxane,,Oncology,Antineoplastic,0.589455828
11H10,Prestw-1495,Rabeprazole sodium salt,,Metabolism,Antiulcer,0.589175438
16G03,Prestw-1741,Loteprednol etabonate,,Ophthalmology,Anti-inflammatory,0.585665267
10C04,Prestw-743,Medrysone,,Metabolism,Anti-inflammatory,0.585346608
11B10,Prestw-819,Moxalactam disodium salt,,Metabolism,Antibacterial,0.582077782
19E07,Prestw-2055,Avanafil,,Cardiovascular,Erectile dysfunction treatment,0.581256725
13E06,Prestw-1005,Apramycin,,Metabolism,Antibacterial,0.579939245
16C04,Prestw-1703,"1,8-Dihydroxyanthraquinone",,Gastroenterology,Laxative 'Antiemetic,0.579630835
18H04,Prestw-2077,"	Ufenamate",,Dermatology,Analgesic,0.579293312
17F02,Prestw-1890,Cyclandelate,,Cardiovascular,Vasodilator,0.576193222
13D08,Prestw-997,Fluticasone propionate,,Cardiovascular 'Metabolism,Anti-inflammatory 'Vasodilator 'Antineoplastic,0.575743227
18F09,Prestw-2069,Indometacin farnesil,,Central Nervous System,Analgesic 'Anti-inflammatory,0.574632514
03F02,Prestw-211,Piroxicam,,Central Nervous System 'Hematology 'Metabolism,Analgesic 'Anticoagulant 'Anti-inflammatory 'Antiplatelet 'Antipyretic 'Uricosuric,0.572566372
14C04,Prestw-1063,Naftifine hydrochloride,,Infectiology 'Metabolism,Antifungal,0.572017334
14B04,Prestw-1053,Pivmecillinam hydrochloride,,Metabolism,Antibacterial,0.570966255
02G11,Prestw-150,Dihydroergotamine tartrate,,Central Nervous System,Antimigraine,0.569857404
02F04,Prestw-133,Hydroxyzine dihydrochloride,,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Antipruritic 'Anxiolytic 'Sedative,0.568915222
19C04,Prestw-2072,Nafamostat Mesylate,,Hematology,Anticoagulant,0.567780038
17B11,Prestw-1201,Clindamycin Phosphate,,Infectiology,Antibacterial,0.566403998
15H07,Prestw-1337,Rosiglitazone hydrochloride,,Metabolism,Antidiabetic,0.564729009
12F05,Prestw-934,Flucytosine,,Metabolism,Antifungal,0.56457472
12G05,Prestw-944,Phenoxybenzamine hydrochloride,,Cardiovascular,Antihypertensive,0.564160638
16G05,Prestw-1775,Lomerizine hydrochloride,,Central Nervous System,Antimigraine,0.563420695
16A07,Prestw-1718,Amlexanox,,Allergology 'Dermatology,Anti-inflammatory 'Immunomodulator,0.562829084
16E11,Prestw-1727,Cefpodoxime proxetil,,Infectiology,Antibacterial,0.560285156
17G05,Prestw-1906,Dimetridazole,,Veterinary,Antiparasitic 'Antiprotozoal,0.55963867
13G03,Prestw-1774,Nifekalant,,Cardiovascular,Antiarrhythmic,0.555375056
11D04,Prestw-1824,Eszopiclone,,Central Nervous System,Hypnotic,0.555213534
11H06,Prestw-875,Reserpine,,Central Nervous System,Antipsychotic,0.554335867
19B11,Prestw-2005,Tandospirone,,Central Nervous System,Antipsychotic 'Hypnotic,0.554067745
12E11,Prestw-930,Protriptyline hydrochloride,,Central Nervous System,Antidepressant,0.552716938
13A03,Prestw-1259,Canrenone,,Endocrinology,Diuretic,0.551878374
06G05,Prestw-1323,Quetiapine hemifumarate,,Central Nervous System,Antipsychotic,0.550699621
10G06,Prestw-785,Dicumarol,,Hematology,Anticoagulant,0.549570814
09D02,Prestw-671,Dydrogesterone,,Endocrinology,Progestogen,0.544650708
15C10,Prestw-1356,Vardenafil,,Cardiovascular,Erectile dysfunction treatment,0.544254678
11F06,Prestw-855,Beclomethasone dipropionate,,Metabolism,Anti-inflammatory,0.540560308
13B03,Prestw-1838,Rosuvastatin,,Metabolism,Antilipemic 'Hypocholesterolemic,0.539945947
01H04,Prestw-73,Sulindac,,Central Nervous System,Analgesic 'Anti-inflammatory 'Antipyretic,0.53823955
17A11,Prestw-559,DO 897/99,,Central Nervous System,Antidepressant,0.536216285
11E03,Prestw-842,Trimeprazine tartrate,,Allergology 'Central Nervous System 'Dermatology,Antihistaminic 'Antipruritic 'Sedative,0.535485102
16A09,Prestw-1786,Enrofloxacin,,Infectiology,Antibacterial,0.533721825
15C11,Prestw-1417,Fluconazole,,Metabolism,Antifungal,0.529703097
12E02,Prestw-921,Nizatidine,,Metabolism,Antiulcer,0.529528387
16A11,Prestw-1778,Troxipide,,Metabolism,Antiulcer,0.528219843
13D04,Prestw-993,Ribavirin,,Metabolism,Antiviral,0.526964516
11E08,Prestw-847,(-) Levobunolol hydrochloride,,Ophthalmology,Antiglaucoma,0.525868922
15B07,Prestw-1256,Caffeine,,Central Nervous System,CNS Stimulant,0.525312093
15H08,Prestw-1334,Rivastigmine,,Central Nervous System,,0.522452835
08A08,Prestw-1139,Itraconazole,,Infectiology 'Metabolism,Antifungal 'Antifungal,0.521515892
10B11,Prestw-1820,Amprenavir,,Infectiology,Antiviral,0.51877646
19G06,Prestw-1979,Pyricarbate,,Metabolism 'Cardiovascular,Antilipemic 'Vasodilator,0.515475414
05C03,Prestw-342,Methapyrilene hydrochloride,,Allergology 'Central Nervous System,Antihistaminic 'Sedative,0.515340166
11C09,Prestw-1361,Viloxazine hydrochloride,,Central Nervous System,Antidepressant,0.514192133
15C04,Prestw-1263,Cefdinir,,Infectiology,Antibacterial,0.513211304
04E08,Prestw-287,Oxybutynin chloride,,Neuromuscular,Antispastic,0.513006503
12D06,Prestw-915,Lorglumide sodium salt,,Metabolism,Antiulcer,0.512287548
14B02,Prestw-1051,Moricizine hydrochloride,,Cardiovascular,Antiarrhythmic,0.511995206
12D07,Prestw-916,Nitrendipine,,Cardiovascular,Antihypertensive,0.509840704
08C11,Prestw-1409,Etretinate,,Dermatology,Antipsoriatic,0.509779951
06C11,Prestw-430,Cisapride,,Gastroenterology,Gastroprokinetic,0.509652374
13B09,Prestw-978,Memantine hydrochloride,,Central Nervous System 'Metabolism,Anti-Alzheimer 'Antiparkinsonian 'Antispastic,0.509524816
01C05,Prestw-24,Norethynodrel,,Endocrinology,Contraceptive,0.508160951
12B09,Prestw-898,Dioxybenzone,,Dermatology,UV protectant,0.507017423
12F10,Prestw-939,Iodipamide,,Diagnostic,Contrastant,0.506565698
14C07,Prestw-1066,Methantheline bromide,,Neuromuscular,Antispastic,0.506075973
13G04,Prestw-1023,Isometheptene mucate,,Cardiovascular,Antimigraine 'Vasoconstrictor,0.505809591
16D08,Prestw-1714,Adapalene,,Dermatology,Keratolytic 'Anti-inflammatory,0.505738626
19H05,Prestw-2038,Talampicillin hydrochloride,,Metabolism,Antibacterial,0.505297217
12C08,Prestw-907,"(S,+) Ibuprofen",,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.505022304
17A03,Prestw-2099,Lisuride (S)(-),,Central Nervous System,Antiparkinsonian 'Antiprolactin 'Antimigraine,0.504439746
17B06,Prestw-1022,Tiletamine hydrochloride,,Central Nervous System,Anesthetic 'Anticonvulsant,0.504183484
10G10,Prestw-789,Drofenine hydrochloride,,Neuromuscular,Antispastic,0.498974208
12F07,Prestw-936,Bephenium hydroxynaphthoate,,Metabolism,Antihelmintic,0.498811085
17E08,Prestw-1880,Ethacridine lactate,,Infectiology 'Endocrinology,Antifungal 'Abortifacient,0.497418156
17A08,Prestw-2103,Methylene blue,,Dermatology 'Hematology,Antiseptic 'Antidote 'Antimalarial 'Antiseptic,0.494701775
02B05,Prestw-94,Azathioprine,,Oncology,Antineoplastic 'Immunosuppressant,0.493395662
11D06,Prestw-1800,Zolmitriptan,,Central Nervous System,,0.491258308
11C11,Prestw-830,Ethaverine hydrochloride,,Central Nervous System,Antispastic,0.490762235
04F09,Prestw-298,Fipexide hydrochloride,,Central Nervous System,Anti-fatigue 'CNS Stimulant,0.490045023
12D09,Prestw-918,Nimodipine,,Cardiovascular,Vasodilator 'Antibacterial,0.48763089
14E04,Prestw-1294,Isosorbide mononitrate,,Cardiovascular,Antianginal,0.48350544
02E09,Prestw-128,Spironolactone,,Endocrinology,Diuretic 'Antineoplastic,0.482886703
14D05,Prestw-1074,Cyproterone acetate,,Endocrinology,Antineoplastic 'Contraceptive,0.482399041
13C03,Prestw-982,Nandrolone,,Endocrinology,Antianemic,0.481901029
03E06,Prestw-205,Tolfenamic acid,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory,0.48119469
18G07,Prestw-2031,Gestodene,,Endocrinology,Contraceptive,0.480978369
13H06,Prestw-1035,Molindone hydrochloride,,Central Nervous System,Antipsychotic,0.480720899
18G06,Prestw-2026,Artesunate,,Infectiology,Antimalarial 'Anti-schistosomiasis,0.480659682
11A07,Prestw-806,Trimipramine maleate salt,,Central Nervous System,Antidepressant 'Antifungal,0.47740643
02D06,Prestw-115,Haloperidol,,Central Nervous System,Antiemetic 'Antipsychotic,0.476400138
06F08,Prestw-457,Meclozine dihydrochloride,,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Sedative,0.475960658
11H07,Prestw-1239,Bicalutamide,,Endocrinology,Antineoplastic,0.475880052
08B02,Prestw-571,Tetracaïne hydrochloride,,Neuromuscular,,0.474927762
18A06,Prestw-1930,Ivabradine hydrochloride,,Cardiovascular,Antianginal,0.474246106
12C09,Prestw-908,Ethynodiol diacetate,,Endocrinology,Contraceptive,0.473288621
14G04,Prestw-1202,4-aminosalicylic acid,,Infectiology 'Metabolism,Antibacterial 'Antifungal,0.472662733
14A02,Prestw-1041,Etomidate,,Central Nervous System,Anesthetic 'Hypnotic,0.469343537
13C05,Prestw-1459,Oxfendazole,,Metabolism,Antihelmintic,0.469138141
09G04,Prestw-703,Famprofazone,,Central Nervous System 'Metabolism,Analgesic 'Antipyretic,0.466054854
19A08,Prestw-1992,Angiotensin II (Human) Trifluoroacetic acid salt,,Cardiovascular,Vasoconstrictor,0.460814727
18A10,Prestw-1937,Sulbenicillin sodium salt,,Infectiology,Antibacterial,0.45942716
11D11,Prestw-840,Ethopropazine hydrochloride,,Central Nervous System,Antiparkinsonian 'Antifungal,0.456724012
15D11,Prestw-1492,Lamotrigine,,Central Nervous System,Anticonvulsant,0.455260269
01E08,Prestw-47,Ticlopidine hydrochloride,,Hematology,Anticoagulant 'Antiplatelet,0.455230126
11E06,Prestw-845,Amiprilose hydrochloride,,Immunology,Immunomodulator,0.452488314
15A03,Prestw-1222,Anastrozole,,Oncology,Antineoplastic,0.452452069
12E10,Prestw-929,Ketorolac tromethamine,,Central Nervous System 'Metabolism,Analgesic 'Anti-inflammatory 'Antipyretic,0.44979892
02C02,Prestw-101,R(-) Apomorphine hydrochloride hemihydrate,,Central Nervous System,Antiparkinsonian 'Emetic,0.44813466
11D05,Prestw-834,Novobiocin sodium salt,,Metabolism,Antibacterial,0.447336789
09F10,Prestw-699,Hexestrol,,Endocrinology,Antineoplastic,0.44415521
14G02,Prestw-1101,Perindopril,,Cardiovascular,Antihypertensive,0.438364374
15F03,Prestw-1232,Atorvastatin,,Metabolism,,0.437696255
08H05,Prestw-1463,Tomoxetine hydrochloride,,Central Nervous System,CNS Stimulant,0.43727495
14G07,Prestw-1106,Meropenem,,Infectiology,Antibacterial,0.436870736
14H03,Prestw-1112,Procarbazine hydrochloride,,Oncology,Antineoplastic,0.436096257
14A08,Prestw-1047,Piretanide,,Cardiovascular,Antihypertensive 'Diuretic,0.434491979
16E05,Prestw-1723,Benzoxiquine,,Infectiology,Antiseptic,0.434212862
01G06,Prestw-65,Diphenhydramine hydrochloride,,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Antitussive 'Sedative,0.433832558
11B08,Prestw-1509,Deflazacort,,Immunology 'Metabolism,Anti-inflammatory 'Immunosuppressant,0.433332273
09A09,Prestw-1154,Nilvadipine,,Cardiovascular,Antianginal 'Antihypertensive,0.433142578
14A07,Prestw-1046,Repaglinide,,Endocrinology,Antidiabetic,0.430730223
12B05,Prestw-894,Butylparaben,,Metabolism,Antifungal,0.428718418
08E05,Prestw-1252,Butenafine hydrochloride,,Infectiology 'Metabolism,Antifungal,0.428472994
18A02,Prestw-1926,Epalrestat,,Central Nervous System,Antidiabetic,0.42803649
17G08,Prestw-1909,Nitroxoline,,Infectiology,Antibacterial,0.426228458
17C02,Prestw-1299,Lapatinib,,Oncology,Antineoplastic,0.424793388
07A05,Prestw-484,Benperidol,,Central Nervous System,Antipsychotic,0.424642585
17F04,Prestw-1894,Beclamide,,Central Nervous System,Anticonvulsant 'Sedative,0.423768339
12F03,Prestw-932,"(S,-) Eticlopride hydrochloride",,Central Nervous System,Antineoplastic,0.423410649
15A05,Prestw-1345,Sulbactam,,Infectiology,Antibacterial,0.422429859
09G02,Prestw-701,"Trihexyphenidyl-D,L hydrochloride",,Central Nervous System,Antiparkinsonian,0.422381185
18H05,Prestw-1984,Benzarone,,Rheumatology,Antigout,0.421822093
13B08,Prestw-977,Zardaverine,,Respiratory,Bronchodilator,0.420577972
17C08,Prestw-1845,Edaravone,,Central Nervous System,CNS Stimulant,0.41946313
06F03,Prestw-1161,Stanozolol,,Endocrinology,Anabolic 'Antianemic,0.417285499
13H03,Prestw-1032,Articaine hydrochloride,,Central Nervous System,Anesthetic,0.40882038
06H08,Prestw-477,Progesterone,,Endocrinology,Progestogen,0.408704046
02F03,Prestw-132,Loxapine succinate,,Central Nervous System,Antipsychotic 'Anxiolytic,0.408490515
12G11,Prestw-1279,Stavudine,,Infectiology,Antiviral,0.407412055
19B05,Prestw-1999,Cycotiamine,,Urology,Antineurogenic bladder,0.403515248
04G08,Prestw-307,Oxytetracycline dihydrate,,Infectiology,Antibacterial,0.402901451
19D07,Prestw-2086,Sapropterin dihydrochloride,,Metabolism,tetrahydrobiopterin deficiency,0.402195852
12E04,Prestw-923,Xamoterol hemifumarate,,Cardiovascular,,0.402066642
13G02,Prestw-1021,Isradipine,,Cardiovascular,Antianginal 'Antihypertensive,0.401521057
18A04,Prestw-1928,Ceftezole,,Infectiology,Antibacterial,0.400509899
03H09,Prestw-238,Lomefloxacin hydrochloride,,Infectiology,Antibacterial,0.399612832
04F02,Prestw-291,Dantrolene sodium salt,,Neuromuscular,Muscle relaxant,0.3985993
05C10,Prestw-349,Ritodrine hydrochloride,,Neuromuscular,Tocolytic,0.397235113
14C02,Prestw-1061,Phensuximide,,Central Nervous System,Anticonvulsant,0.396985064
12F02,Prestw-931,Propofol,,Central Nervous System,Anesthetic 'Sedative,0.396909448
13A04,Prestw-963,Enilconazole,,Metabolism,Antifungal 'Antibacterial,0.396232325
07C11,Prestw-510,Cyclizine hydrochloride,,Allergology 'Central Nervous System,Antiemetic 'Antihistaminic 'Antivertigo 'Sedative,0.395609509
04B04,Prestw-253,Norethindrone,,Endocrinology,Contraceptive,0.394947474
10G11,Prestw-790,Cycloheximide,,Infectiology,Antibacterial 'Antineoplastic,0.391070461
17C10,Prestw-1848,Tioxolone,,Dermatology,Antipsoriatic 'Antibacterial,0.390812993
05C05,Prestw-344,Clorgyline hydrochloride,,Central Nervous System,Antidepressant 'Antifungal,0.390798339
05B11,Prestw-340,Domperidone,,Central Nervous System,Antiemetic,0.38996936
11D02,Prestw-831,Butacaine,,Dermatology,Anesthetic,0.383686838
06H06,Prestw-475,Brompheniramine maleate,,Allergology,Antihistaminic 'Antipruritic 'Antitussive 'Sedative,0.383297871
17F10,Prestw-1901,Moguisteine,,Respiratory,Antitussive,0.382971363
14B07,Prestw-1056,Trifluridine,,Metabolism,Antiviral 'Antineoplastic,0.382601881
16F03,Prestw-1737,Indinavir sulfate,,Infectiology,Antiviral,0.381618648
06E02,Prestw-441,Estradiol-17 beta,,Endocrinology,Antigonadotropin,0.379662378
10C09,Prestw-748,Monensin sodium salt,,Infectiology,Antibacterial,0.3796255
03E08,Prestw-1181,Tibolone,,Endocrinology,,0.379369469
17G10,Prestw-1912,Sulfacarbamide,,Infectiology,Antibacterial,0.378768659
13H09,Prestw-1038,Methyldopate hydrochloride,,Cardiovascular,Antihypertensive,0.377831037
04F07,Prestw-296,Acemetacin,,Metabolism,Anti-inflammatory,0.377688844
14C10,Prestw-1069,Mesalamine,,Metabolism,Anti-inflammatory,0.377235847
13B11,Prestw-980,Piribedil,,Cardiovascular 'Central Nervous System,Antiparkinsonian 'Vasodilator,0.375995279
17D07,Prestw-1860,Dichlorisone acetate,,Central Nervous System,Anti-inflammatory,0.371798321
03C03,Prestw-182,Levamisole hydrochloride,,Immunology 'Infectiology,Antihelmintic 'Immunomodulator,0.369579646
05H03,Prestw-392,Ketanserin tartrate hydrate,,Cardiovascular,Antihypertensive 'Vasodilator,0.366709199
19H09,Prestw-2095,Etiroxate hydrochloride,,Cardiovascular,Antilipemic,0.366430798
12B10,Prestw-899,Adrenosterone,,Endocrinology,Anabolic,0.365288696
11E04,Prestw-843,Nafcillin sodium salt monohydrate,,Metabolism,Antibacterial,0.363347855
17A07,Prestw-429,Cholecalciferol,,Metabolism,Antihypoparathyroid 'Antiosteoporetic,0.363187904
18G09,Prestw-2033,Safinamide,,Central Nervous System,Antiparkinsonian,0.361470741
04D08,Prestw-277,Labetalol hydrochloride,,Cardiovascular,Antihypotensive,0.358429215
16F05,Prestw-1700,Histamine dihydrochloride,,Oncology 'Neuromuscular,Antineoplastic 'Analgesic,0.357599243
16H09,Prestw-1751,Brimonidine L-tartrate,,Ophthalmology,Antiglaucoma,0.354996155
10F02,Prestw-771,Alclometasone dipropionate,,Metabolism,Anti-inflammatory,0.354677133
13D06,Prestw-995,Fluvoxamine maleate,,Central Nervous System,Antidepressant 'CNS Stimulant,0.353922476
16F02,Prestw-1736,Irbesartan,,Cardiovascular,Antihypertensive,0.35369461
17F06,Prestw-1897,Orotic acid,,Metabolism,Uricosuric,0.35339868
12A02,Prestw-881,Niacin,,Cardiovascular,Antilipemic 'Vasodilator,0.352903902
11A03,Prestw-802,Methazolamide,,Metabolism 'Ophthalmology,Antiglaucoma 'Diuretic,0.351823703
13D03,Prestw-992,Pizotifen malate,,Allergology 'Cardiovascular 'Central Nervous System,Antihistaminic 'Antimigraine 'Sedative,0.350032417
07A11,Prestw-490,Iobenguane sulfate,,Oncology,Antineoplastic,0.349522037
15F08,Prestw-1359,Vecuronium bromide,,Metabolism,Muscle relaxant,0.348344438
13B02,Prestw-971,Remoxipride hydrochloride,,Central Nervous System,Antipsychotic,0.346535735
12A06,Prestw-1510,Dolasetron mesilate,,Central Nervous System,Antiemetic,0.346090383
05F06,Prestw-1840,Cefditoren Pivoxil,,Infectiology,Antibacterial,0.345106995
17G03,Prestw-1904,loxoprofen,,Neuromuscular,Anti-inflammatory 'Antipyretic,0.345095778
12A07,Prestw-886,Clioquinol,,Metabolism,Antiamebic 'Antiseptic 'Antifungal,0.34435877
18E02,Prestw-2022,Dichlorophen,,Veterinary,Antibacterial 'Antiparasitic,0.341990997
13D05,Prestw-994,Cyclopenthiazide,,Cardiovascular,Antihypertensive 'Diuretic,0.341684089
18F05,Prestw-2062,Cresopirine,,Central Nervous System,Anti-inflammatory,0.341433295
13A02,Prestw-961,Denatonium benzoate,,Neuromuscular,Aversive,0.341028462
16B07,Prestw-1753,Tegafur,,Oncology,Antineoplastic,0.339969236
15G07,Prestw-1189,Montelukast,,Respiratory,Antiasthmatic,0.338796559
15G06,Prestw-1480,Racepinephrine hydrochloride,,Cardiovascular 'Respiratory,Bronchodilator 'Vasoconstrictor,0.335835184
18F06,Prestw-2064,Rufinamide,,Central Nervous System,Antiepileptic 'Anticonvulsant,0.335218898
14H07,Prestw-1116,Dorzolamide hydrochloride,,Cardiovascular,Antiglaucoma 'Antihypertensive,0.33320118
15B03,Prestw-1435,Melengestrol acetate,,Endocrinology,Antineoplastic,0.332567461
16D10,Prestw-1743,Dofetilide,,Cardiovascular,Antiarrhythmic,0.331213394
12A08,Prestw-887,Oxybenzone,,Dermatology,UV protectant,0.331070526
15G09,Prestw-1376,Cilnidipine,,Cardiovascular,Antihypertensive,0.330525133
15A07,Prestw-1315,Clavulanate potassium salt,,Infectiology,Antibacterial,0.329555028
11C03,Prestw-822,Clidinium bromide,,Neuromuscular,Antispastic,0.329004357
02B02,Prestw-91,Khellin,,Cardiovascular 'Gastroenterology 'Respiratory,Antispastic 'Antitussive 'Vasodilator,0.327535287
19B06,Prestw-2000,Fenclofenac,,Rheumatology 'Central Nervous System,Anti-inflammatory 'Antipyretic,0.325670889
12B11,Prestw-900,Methylatropine nitrate,,Neuromuscular 'Ophthalmology,Antispastic 'Mydriatic,0.324934594
16A05,Prestw-1739,Nevirapine,,Infectiology,Antiviral,0.323285807
15H06,Prestw-1319,Pravastatin,,Metabolism,Antilipemic,0.323274872
12G07,Prestw-946,Altretamine,,Oncology,Antineoplastic,0.321960738
05D04,Prestw-353,Moclobemide,,Central Nervous System,Antidepressant,0.321700544
14A04,Prestw-1043,Penbutolol sulfate,,Cardiovascular,Antianginal 'Antiarrhythmic 'Antihypertensive,0.319592476
14H04,Prestw-1113,Viomycin sulfate,,Infectiology,Antibacterial,0.318873317
08C04,Prestw-583,Papaverine hydrochloride,,Cardiovascular 'Gastroenterology 'Respiratory,Antispastic 'Antitussive 'Erectile dysfunction treatment 'Vasodilator,0.318137364
11F11,Prestw-1836,Octoclothepin maleate salt,,Central Nervous System,Antipsychotic,0.318090756
13A08,Prestw-1267,Gestrinone,,Endocrinology,Contraceptive,0.317819236
05E10,Prestw-369,Meloxicam,,Metabolism,Anti-inflammatory,0.316921727
19E11,Prestw-2051,Repirinast,,Respiratory,Antiasthmatic,0.316623603
19G10,Prestw-1972,Cefozopran hydrochloride,,Infectiology,Antibacterial,0.315351328
03E03,Prestw-202,"Tiratricol, 3,3',5-triiodothyroacetic acid",,Endocrinology,Antihypothyroid 'Hypocholesterolemic 'Antineoplastic,0.315210177
03G11,Prestw-230,Phentolamine hydrochloride,,Cardiovascular,Antihypertensive 'Vasodilator,0.314933628
13C08,Prestw-1316,Pramipexole dihydrochloride,,Central Nervous System,Antiparkinsonian,0.314016595
13D02,Prestw-991,Gliquidone,,Endocrinology,Antidiabetic,0.313710635
19A06,Prestw-2048,Zanamivir,,Infectiology,Antiviral,0.313277992
04D05,Prestw-274,Prednisolone,,Endocrinology 'Immunology,Anti-inflammatory 'Immunosuppressant 'Antineoplastic,0.313156578
13E10,Prestw-1009,Pivampicillin,,Metabolism,Antibacterial,0.312530505
16H06,Prestw-1735,Valsartan,,Cardiovascular,Vasodilator 'Antihypertensive,0.310921138
11B06,Prestw-815,Fosfosal,,Central Nervous System,Analgesic,0.309924635
12C05,Prestw-904,Metyrapone,,Endocrinology,,0.309914737
12H06,Prestw-955,Florfenicol,,Metabolism,Antibacterial,0.308898356
19D03,Prestw-2082,Ramosetron hydrochloride,,Gastroenterology,Antidiarrheal,0.308754349
17B05,Prestw-924,Rolipram,,Central Nervous System,Antidepressant 'Antipsychotic,0.307220193
14H09,Prestw-1118,Cefepime hydrochloride,,Infectiology,Antibacterial,0.306481652
07E10,Prestw-529,Mesoridazine besylate,,Central Nervous System,Antipsychotic,0.303688351
08G07,Prestw-626,Racecadotril,,Gastroenterology,Antidiarrheal,0.303245166
17D03,Prestw-1856,Cyromazine,,Veterinary,Insecticide,0.302966237
10E05,Prestw-764,Furaltadone hydrochloride,,Infectiology,Antibacterial,0.301198702
16G08,Prestw-1738,Risedronic acid monohydrate,,Metabolism,Antiosteoporetic,0.300449624
14D11,Prestw-1080,Methiazole,,Infectiology,Antihelmintic,0.298792181
02D02,Prestw-111,Naloxone hydrochloride,,Central Nervous System,Opioate antidote,0.294087804
11G08,Prestw-867,Paromomycin sulfate,,Metabolism 'Infectiology,Antiamebic 'Antibacterial,0.293210799
12H02,Prestw-951,Crotamiton,,Dermatology,Antipruritic,0.292560967
16F06,Prestw-1734,Rasagiline,,Central Nervous System,Antiparkinsonian,0.292048749
18D09,Prestw-2017,Fudosteine,,Respiratory,Expectorant 'Mucolytic,0.291399434
09A03,Prestw-1270,Gefitinib,,Oncology,Antineoplastic,0.290103985
15B09,Prestw-1282,Methenamine,,Infectiology,Antibacterial,0.289729647
10F05,Prestw-774,Fluocinonide,,Metabolism,Anti-inflammatory,0.289589066
11B05,Prestw-814,Cefsulodin sodium salt,,Metabolism,Antibacterial,0.288936942
06E03,Prestw-1380,Clobutinol hydrochloride,,Central Nervous System,Antitussive,0.287210957
05G05,Prestw-384,Probucol,,Metabolism,Antilipemic 'Hypocholesterolemic,0.286883447
15D03,Prestw-1487, 2-Mercaptoethanesulfonic acid sodium salt,,Oncology,Chemoprotectant,0.286870389
17B07,Prestw-2101,Netilmicin sulfate,,Infectiology,Antibacterial,0.285335383
19C10,Prestw-2079,Lumiracoxib,,Rheumatology,Antiarrhythmic,0.283638705
04E02,Prestw-281,Fludrocortisone acetate,,Dermatology 'Endocrinology,Anti-inflammatory 'Antipruritic 'Anti-infiammatory,0.282891446
05E03,Prestw-362,Betamethasone,,Endocrinology,Anti-inflammatory 'Antipruritic 'Immunosuppressant 'Antineoplastic,0.282836082
04C07,Prestw-266,Disopyramide,,Cardiovascular,Antiarrhythmic,0.281590795
12G10,Prestw-949,Octopamine hydrochloride,,Cardiovascular,Cardiotonic,0.280703185
04C09,Prestw-268,Vinpocetine,,Cardiovascular 'Central Nervous System,CNS Stimulant 'Neuroprotectant 'Vasodilator,0.28004002
12E08,Prestw-927,Quinapril hydrochloride,,Cardiovascular,Antihypertensive,0.27934801
14D10,Prestw-1803,Methicillin sodium,,Infectiology,Antibacterial,0.279153605
03F05,Prestw-214,Gemfibrozil,,Metabolism,Hypocholesterolemic 'Lipid-lowering,0.278539823
05B06,Prestw-335,Zaprinast,,Cardiovascular,Erectile dysfunction treatment,0.277618394
05E02,Prestw-361,Bambuterol hydrochloride,,Neuromuscular 'Respiratory,Bronchodilator 'Tocolytic,0.274936404
12F09,Prestw-938,Benserazide hydrochloride,,Central Nervous System,Antiparkinsonian,0.274755472
18E04,Prestw-2027,Valethamate bromide,,Gastroenterology,Muscle relaxant 'Cervical dilatation 'Antispastic,0.274230172
18A03,Prestw-1927,Cefcapene pivoxil hydrochloride,,Infectiology,Antibacterial,0.273871649
02C06,Prestw-105,Danazol,,Endocrinology,Anabolic 'Antigonadotropin,0.273830878
